id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,,No expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,,No expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Grounded in retrieved chunks (mock / fallback mode).,5,Directly relevant to user query (mock / fallback mode).,5,Retrieved: 1/1 expected sources,5,Completeness matches expected answers (mock / fallback mode).,variant_hybrid_rerank
